,model,data,oov_test,accuracy_test,oov_valid,accuracy_valid,accuracy
0,fasttext_diff,sat,0,0.4629080118694362,0,0.5405405405405406,0.47058823529411764
1,fasttext_diff,u2,0,0.3815789473684211,0,0.2916666666666667,0.373015873015873
2,fasttext_diff,u4,0,0.38425925925925924,0,0.3958333333333333,0.3854166666666667
3,fasttext_diff,google,0,0.948,0,0.94,0.9472727272727273
4,fasttext_diff,bats,0,0.7148415786548082,0,0.7437185929648241,0.7177177177177178
5,relative_init,sat,88,0.3115727002967359,4,0.24324324324324326,0.3048128342245989
6,relative_init,u2,49,0.34210526315789475,5,0.25,0.3333333333333333
7,relative_init,u4,83,0.29398148148148145,8,0.3333333333333333,0.29791666666666666
8,relative_init,google,65,0.654,6,0.64,0.6527272727272727
9,relative_init,bats,399,0.5175097276264592,50,0.5376884422110553,0.5195195195195195
